ln_seq_number,mth_reprt_prd,curr_actl_upb,curr_ln_delq_stas,ln_age,remng_mth,rep_flag,mod_flag,zero_bal_cd,zero_bal_eff_dt,curr_int_rt,curr_defrd_upb,ddlpi,mi_upb,net_sls_amt,non_mi_amt,exp_amt,lgl_cst,other_cst,ti_ins_cst,misc_exp,loss_cal,mod_cst,step_mod_flag,dfrd_pmt_mod,eltv
F117Q2000052,201707,61000,1,2,358,NULL,NULL,NULL,NULL,4.25,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,28
F117Q2000101,201708,68000,1,2,358,NULL,NULL,NULL,NULL,4.375,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,
F117Q2000101,201709,68000,1,3,357,NULL,NULL,NULL,NULL,4.375,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,
F117Q2000115,201801,57722,1,7,353,NULL,NULL,NULL,NULL,4.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,50
F117Q2000161,201805,38782,1,12,349,NULL,NULL,NULL,NULL,4.625,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,
F117Q2000161,201806,38782,1,13,348,NULL,NULL,NULL,NULL,4.625,0,201804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL, ,
F117Q2000212,201803,326715,1,10,350,NULL,NULL,NULL,NULL,4.5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,69
F117Q2000264,201709,185000,2,3,177,NULL,NULL,NULL,NULL,3.25,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,
F117Q2000264,201710,185000,3,4,176,NULL,NULL,NULL,NULL,3.25,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,
F117Q2000264,201711,181000,4,5,175,NULL,NULL,NULL,NULL,3.25,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,
F117Q2000352,201806,118428,2,13,347,NULL,NULL,NULL,NULL,4.625,0,201803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL, ,
F117Q2000499,201710,293000,1,4,356,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, ,49
