ln_seq_number,mth_reprt_prd,curr_actl_upb,curr_ln_delq_stas,ln_age,remng_mth,rep_flag,mod_flag,zero_bal_cd,zero_bal_eff_dt,curr_int_rt,curr_defrd_upb,ddlpi,mod_cst,step_mod_flag,eltv
F112Q1005233,3/1/2018,62643,0,73,287,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,45
F112Q1005233,4/1/2018,62643,0,74,286,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,45
F112Q1005233,5/1/2018,61920,0,75,285,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,46
F112Q1005233,6/1/2018,61920,0,76,284,NULL,NULL,NULL,NULL,4.125,0,NULL,0,NULL,47
F112Q1005234,5/1/2018,243824,0,73,287,NULL,NULL,NULL,NULL,3.75,0,NULL,NULL,NULL,54
F112Q1005234,6/1/2018,243290,0,74,286,NULL,NULL,NULL,NULL,3.75,0,NULL,0,NULL,54
F112Q1005235,3/1/2018,96289,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,63
F112Q1005235,4/1/2018,95998,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,62
F112Q1005235,5/1/2018,95706,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,62
F112Q1005235,6/1/2018,95412,0,76,284,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,62
F112Q1005238,4/1/2018,60122,0,73,287,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,59
F112Q1005238,5/1/2018,59745,0,74,286,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,60
F112Q1005238,6/1/2018,59612,0,75,285,NULL,NULL,NULL,NULL,4,0,NULL,0,NULL,59
F112Q1005239,4/1/2018,67690,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,53
F112Q1005239,5/1/2018,67533,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,53
F112Q1005239,6/1/2018,67375,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,52
F112Q1005240,4/1/2018,129727,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,54
F112Q1005240,5/1/2018,129356,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,54
F112Q1005240,6/1/2018,128984,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,50
F112Q1005241,3/1/2018,211474,0,73,287,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,49
F112Q1005241,4/1/2018,211033,0,74,286,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,48
F112Q1005241,5/1/2018,210591,0,75,285,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,47
F112Q1005241,6/1/2018,210147,0,76,284,NULL,NULL,NULL,NULL,4,0,NULL,0,NULL,48
F112Q1005243,3/1/2018,100000,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,39
F112Q1005243,4/1/2018,99546,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,38
F112Q1005243,5/1/2018,99091,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,37
F112Q1005243,6/1/2018,98634,0,76,284,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,37
F112Q1005246,3/1/2018,295110,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,40
F112Q1005246,4/1/2018,294263,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,39
F112Q1005246,5/1/2018,293413,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,39
F112Q1005246,6/1/2018,292561,0,76,284,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,39
F112Q1005248,5/1/2018,174830,0,73,287,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,48
F112Q1005248,6/1/2018,174458,0,74,286,NULL,NULL,NULL,NULL,4,0,NULL,0,NULL,47
F112Q1005249,4/1/2018,144175,0,73,287,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,47
F112Q1005249,5/1/2018,143767,0,74,286,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,46
F112Q1005249,6/1/2018,143259,0,75,285,NULL,NULL,NULL,NULL,4,0,NULL,0,NULL,45
F112Q1005250,3/1/2018,138042,0,73,239,NULL,NULL,NULL,NULL,3.5,0,NULL,NULL,NULL,54
F112Q1005250,4/1/2018,137642,0,74,238,NULL,NULL,NULL,NULL,3.5,0,NULL,NULL,NULL,54
F112Q1005250,5/1/2018,137240,0,75,237,NULL,NULL,NULL,NULL,3.5,0,NULL,NULL,NULL,54
F112Q1005250,6/1/2018,136837,0,76,236,NULL,NULL,NULL,NULL,3.5,0,NULL,0,NULL,51
F112Q1005252,4/1/2018,261411,0,73,287,NULL,NULL,NULL,NULL,3.75,0,NULL,NULL,NULL,40
F112Q1005252,5/1/2018,260847,0,74,286,NULL,NULL,NULL,NULL,3.75,0,NULL,NULL,NULL,40
F112Q1005252,6/1/2018,260281,0,75,285,NULL,NULL,NULL,NULL,3.75,0,NULL,0,NULL,40
F112Q1005253,4/1/2018,235558,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,64
F112Q1005253,5/1/2018,235059,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,64
F112Q1005253,6/1/2018,234557,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,64
F112Q1005255,3/1/2018,100698,0,73,287,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,41
F112Q1005255,4/1/2018,100491,0,74,286,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,40
F112Q1005255,5/1/2018,100284,0,75,285,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,40
F112Q1005255,6/1/2018,100077,0,76,284,NULL,NULL,NULL,NULL,4.125,0,NULL,0,NULL,40
F112Q1005256,3/1/2018,117232,0,73,287,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL
F112Q1005256,4/1/2018,116977,0,74,286,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,31
F112Q1005256,5/1/2018,116722,0,75,285,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,30
F112Q1005256,6/1/2018,116466,0,76,284,NULL,NULL,NULL,NULL,4,0,NULL,0,NULL,30
F112Q1005259,3/1/2018,514775,0,73,288,NULL,NULL,NULL,NULL,3.75,0,NULL,NULL,NULL,32
F112Q1005259,4/1/2018,513245,0,74,287,NULL,NULL,NULL,NULL,3.75,0,NULL,NULL,NULL,31
F112Q1005259,5/1/2018,511710,0,75,286,NULL,NULL,NULL,NULL,3.75,0,NULL,NULL,NULL,31
F112Q1005259,6/1/2018,510170,0,76,285,NULL,NULL,NULL,NULL,3.75,0,NULL,0,NULL,30
F112Q1005260,3/1/2018,221911,0,73,287,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,35
F112Q1005260,4/1/2018,221450,1,74,286,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,34
F112Q1005260,5/1/2018,220523,1,75,285,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,34
F112Q1005260,6/1/2018,220058,0,76,284,NULL,NULL,NULL,NULL,4,0,NULL,0,NULL,35
F112Q1005261,3/1/2018,205818,0,73,287,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,38
F112Q1005261,4/1/2018,204683,0,74,286,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,37
F112Q1005261,5/1/2018,203544,0,75,285,NULL,NULL,NULL,NULL,4.125,0,NULL,NULL,NULL,36
F112Q1005261,6/1/2018,202401,0,76,284,NULL,NULL,NULL,NULL,4.125,0,NULL,0,NULL,36
F112Q1005262,3/1/2018,355972,0,73,287,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,33
F112Q1005262,4/1/2018,355217,0,74,286,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,33
F112Q1005262,5/1/2018,354459,0,75,285,NULL,NULL,NULL,NULL,3.875,0,NULL,NULL,NULL,33
F112Q1005262,6/1/2018,353699,0,76,284,NULL,NULL,NULL,NULL,3.875,0,NULL,0,NULL,33
F112Q1005263,3/1/2018,173923,0,73,287,NULL,NULL,NULL,NULL,4.375,0,NULL,NULL,NULL,64
F112Q1005263,4/1/2018,173558,0,74,286,NULL,NULL,NULL,NULL,4.375,0,NULL,NULL,NULL,62
F112Q1005263,5/1/2018,173193,0,75,285,NULL,NULL,NULL,NULL,4.375,0,NULL,NULL,NULL,60
