ln,credit_score,first_time_homebuyer_flag,mi_percent,orig_cltv,orig_debt_to_inc,orig_ltv,orig_int_rate,curr_ln_delq_stas
3001,798,N,0,85,41,70,4,1
3002,786,N,0,65,22,65,4,0
3003,747,N,0,47,39,47,4,0
3004,695,N,0,80,38,80,4,0
3005,770,N,0,80,4,80,4,0
3006,775,N,0,75,37,75,4,0
3007,752,N,0,79,22,70,4,0
3008,791,N,30,95,44,95,4,0
3009,812,N,0,51,49,51,4,0
3010,772,N,25,89,47,89,4,0
3011,695,N,0,80,43,80,4,0
3012,787,N,0,75,21,75,4,0
3013,733,Y,0,75,35,75,4,0
3014,768,N,0,19,22,19,4,0
3015,744,N,0,48,21,41,4,0
3016,730,N,0,75,36,75,4,0
3017,739,N,0,54,33,54,4,0
3018,796,N,0,51,12,51,4,0
3019,686,N,0,80,34,70,4,0
3020,706,Y,0,80,23,80,4,0
3021,725,N,0,78,28,69,4,0
3022,796,N,0,56,28,56,4,0
3023,749,N,0,74,31,74,4,0
3024,733,Y,0,80,31,80,4,0
3025,770,N,12,85,34,85,4,0
3026,808,N,0,80,33,80,4,0
3027,767,Y,25,90,44,90,4,1
3028,776,N,0,80,26,80,4,0
3029,743,N,0,61,17,61,4,0
3030,665,N,0,41,43,41,4,0
3031,807,N,30,95,44,95,4,0
3032,779,N,0,80,27,80,4,0
3033,680,N,0,80,36,80,4,0
3034,765,N,0,63,29,63,4,0
3035,797,N,0,80,39,80,4,0
3036,713,N,0,80,43,80,4,0
3037,767,N,0,80,35,80,4,0
3038,729,N,0,82,21,77,4,0
3039,715,N,0,55,19,55,4,0
3040,770,N,0,72,18,72,4,0
3041,798,N,0,72,30,72,4,0
3042,752,Y,30,95,44,95,4,0
3043,749,N,30,95,42,95,4,0
3044,624,Y,0,77,41,77,4,0
3045,744,N,0,56,45,56,4,0
3046,779,N,0,80,18,80,4,0
3047,802,N,25,90,25,90,4,0
3048,794,Y,12,85,31,85,4,0
3049,815,N,0,68,18,68,4,0
3050,806,N,0,65,40,65,4,0
3051,728,N,0,80,50,80,4,0
3052,764,N,0,80,30,80,4,0
3053,786,N,0,73,19,73,4,0
3054,800,N,0,70,22,70,4,0
3055,748,N,0,49,22,49,4,0
3056,765,N,0,59,48,59,4,0
3057,776,N,0,76,32,62,4,0
3058,792,N,0,80,10,80,4,0
3059,796,N,0,69,16,69,4,0
3060,753,N,0,80,39,80,4,0
3061,796,N,0,78,39,78,4,0
3062,742,N,30,93,46,93,4,0
3063,765,N,0,80,50,80,4,0
3064,773,N,0,73,14,73,4,0
3065,687,N,0,40,42,40,4,0
3066,774,N,0,75,35,75,5,0
3067,804,N,0,73,24,73,4,0
3068,726,N,0,80,21,80,4,0
3069,770,N,30,95,39,95,4,0
3070,760,N,0,78,34,49,4,0
3071,751,N,30,95,38,95,4,0
3072,819,N,0,80,24,80,4,0
3073,802,N,30,95,23,95,4,0
3074,808,N,0,69,33,69,4,0
3075,721,N,0,79,42,79,4,0
3076,770,N,0,35,47,35,4,0
3077,753,N,30,95,45,95,4,0
3078,794,Y,0,80,42,80,4,0
3079,798,N,0,80,50,80,4,0
3080,748,N,0,70,30,70,4,1
3081,777,Y,30,95,43,95,4,0
3082,765,N,30,94,39,94,4,0
3083,802,Y,0,80,38,80,4,0
3084,729,N,30,95,14,95,4,0
3085,771,N,25,90,40,90,4,0
3086,735,N,0,80,30,80,4,0
3087,765,N,0,37,38,37,4,0
3088,801,N,0,80,40,80,4,0
3089,804,N,0,69,41,69,4,0
3090,783,N,0,80,39,80,4,0
3091,713,Y,30,95,40,95,5,0
3092,805,N,0,80,28,80,4,0
3093,778,Y,30,95,35,95,4,0
3094,742,Y,30,95,39,95,4,0
3095,750,N,0,80,37,70,4,0
3096,678,N,0,59,48,59,4,0
3097,751,Y,12,85,14,85,4,0
3098,799,N,0,80,48,80,4,0
3099,791,N,30,95,42,95,4,0
3100,766,N,12,85,46,85,4,0
3101,766,N,0,80,35,80,4,0
3102,801,Y,0,58,25,58,4,0
3103,799,N,0,93,19,78,4,0
3104,750,N,12,85,36,85,5,0
3105,749,N,0,80,38,80,4,0
3106,802,N,0,15,27,15,4,0
3107,792,Y,0,80,27,80,4,0
3108,797,N,0,52,42,52,4,0
3109,755,N,0,73,31,73,4,0
3110,722,Y,30,95,38,95,4,0
3111,707,N,0,58,29,58,4,0
3112,792,N,0,72,27,72,4,0
3113,787,Y,25,90,34,90,4,0
3114,790,N,0,80,21,80,4,0
3115,755,N,0,38,23,38,4,0
3116,784,N,0,68,30,68,4,0
3117,727,N,0,80,31,80,4,0
3118,784,N,0,70,33,70,5,0
3119,788,N,0,43,43,43,4,0
3120,699,N,0,80,27,80,5,0
3121,760,N,0,62,38,62,4,0
3122,713,N,0,40,26,40,4,0
3123,723,N,30,95,39,95,4,0
3124,724,N,30,95,30,95,4,0
3125,754,N,0,56,9,56,4,0
3126,765,N,0,91,31,80,4,0
3127,749,N,30,95,30,95,4,0
3128,740,N,0,74,46,74,4,0
3129,808,N,0,74,16,74,4,0
3130,804,N,0,79,27,79,4,0
3131,775,N,0,78,31,78,4,0
3132,773,N,0,67,44,67,4,0
3133,800,N,0,80,28,80,4,0
3134,766,N,0,80,39,80,4,0
3135,724,N,0,42,23,42,4,0
3136,779,Y,0,80,27,80,4,0
3137,777,N,0,80,46,80,4,0
3138,691,N,30,95,23,95,4,0
3139,770,N,0,73,42,73,4,0
3140,800,N,0,80,20,80,4,0
3141,700,N,0,60,35,60,4,0
3142,742,N,0,80,29,80,4,0
3143,704,N,12,85,22,85,4,0
3144,798,N,0,40,37,40,4,0
3145,703,N,0,80,45,80,5,0
3146,703,N,0,78,36,78,4,0
3147,784,N,0,46,26,46,4,0
3148,776,N,0,74,17,74,4,0
3149,764,N,0,80,18,80,4,0
3150,783,N,0,80,33,80,4,0
3151,806,N,0,80,40,80,4,0
