ln_seq_number,Ln,credit_score,first_time_homebuyer_flag,mi_percent,unit_cnt,occupancy_status,orig_cltv,orig_debt_to_inc,orig_ltv,orig_int_rate,property_st,property_type,ln_purpose,curr_ln_delq_stas
F112Q2010584,1,812,N,0,1,P,27,19,27,4,IL,SF,N,0
F112Q2012947,2,780,N,0,1,P,71,24,71,4,WA,SF,P,0
F112Q2009065,3,758,N,0,1,S,77,20,77,4,KY,PU,N,0
F112Q2010710,4,804,N,0,1,P,66,28,66,4,PA,SF,C,0
F112Q2010330,5,740,N,0,1,P,79,49,79,4,IN,SF,C,0
F112Q2011237,6,803,N,0,1,P,69,37,69,4,MO,PU,C,0
F112Q2012814,7,714,N,0,1,P,75,33,75,4,WA,SF,N,0
F112Q2009343,8,661,N,0,1,S,80,32,80,4,IA,SF,P,0
F112Q2012540,9,760,Y,0,1,P,80,31,80,4,MI,SF,P,0
F112Q2009414,10,790,N,0,1,P,70,17,70,4,KY,SF,N,0
F112Q2008176,11,730,N,0,1,P,72,43,72,4,CO,PU,P,1
F112Q2011216,12,784,N,0,1,P,80,37,80,4,MI,CO,N,0
F112Q2012465,13,762,N,30,1,P,95,24,95,4,MI,PU,P,0
F112Q2010028,14,753,N,0,1,P,80,33,80,4,TX,PU,P,0
F112Q2009159,15,814,N,12,1,P,85,39,85,4,MA,SF,N,0
F112Q2011093,16,740,Y,25,1,P,90,21,90,4,UT,SF,P,0
F112Q2011189,17,734,Y,30,1,P,95,39,95,4,OH,SF,P,0
F112Q2011956,18,749,N,0,1,P,78,43,60,4,AZ,PU,N,0
F112Q2012000,19,796,N,0,1,P,86,43,80,4,PA,SF,N,0
F112Q2009081,20,800,N,0,1,P,59,14,59,4,KY,SF,C,0
F112Q2009561,21,805,N,0,1,P,70,23,70,4,MN,SF,P,0
F112Q2010894,22,640,N,0,1,P,38,26,38,4,PA,SF,N,0
F112Q2009954,23,795,N,0,1,P,74,29,74,4,WA,SF,N,0
F112Q2010415,24,768,N,30,1,P,95,33,95,4,VA,PU,P,0
F112Q2011622,25,818,N,0,1,P,67,43,67,4,MD,PU,N,0
F112Q2010189,26,785,N,0,1,P,80,32,80,4,WI,SF,N,0
F112Q2009453,27,744,N,0,1,P,91,35,73,4,WI,SF,N,0
F112Q2010064,28,743,Y,0,1,P,71,44,71,4,NY,SF,P,0
F112Q2011666,29,802,N,0,1,P,71,27,71,4,WI,SF,C,0
F112Q2009451,30,796,N,0,1,P,80,26,80,4,KY,SF,C,0
F112Q2008863,31,764,N,30,1,P,95,36,95,5,IL,CO,P,0
F112Q2008457,32,789,N,0,1,P,55,28,55,4,MI,SF,N,0
F112Q2011793,33,766,N,0,1,P,71,38,71,4,CO,SF,C,0
F112Q2009275,34,764,N,0,1,P,80,34,80,4,ND,SF,N,0
F112Q2011077,35,784,Y,25,1,P,90,27,90,4,KY,SF,P,0
F112Q2008600,36,692,N,0,1,P,81,30,70,4,MO,MH,N,0
F112Q2009333,37,727,N,0,1,P,45,30,45,4,IN,SF,P,0
F112Q2010063,38,795,N,0,1,P,75,42,75,4,MA,SF,N,0
F112Q2009544,39,718,N,0,1,P,73,34,73,4,WI,SF,N,0
F112Q2012027,40,714,N,0,1,P,74,45,74,4,FL,PU,N,0
F112Q2009746,41,664,N,30,1,P,95,44,95,5,AZ,SF,P,0
F112Q2012752,42,742,N,12,1,P,85,29,85,4,KY,SF,N,0
F112Q2009145,43,794,N,0,1,P,78,20,78,4,OH,SF,N,0
F112Q2009905,44,784,N,0,1,P,80,36,80,4,CO,PU,P,0
F112Q2012374,45,764,N,0,1,P,63,34,63,4,VA,PU,P,0
F112Q2010184,46,788,N,0,1,P,75,33,75,4,CA,PU,P,0
F112Q2011490,47,785,N,0,1,P,76,15,76,4,IN,PU,P,0
F112Q2012332,48,804,N,0,1,P,55,14,55,4,CA,SF,C,0
F112Q2011102,49,710,N,30,1,P,95,43,95,4,IN,PU,P,0
F112Q2012987,50,755,N,0,1,P,74,40,50,4,CO,SF,N,0
F112Q2012488,51,788,N,0,1,P,80,22,80,4,MI,SF,P,0
F112Q2011283,52,788,Y,0,1,P,80,25,80,4,CA,SF,P,0
F112Q2012512,53,757,N,0,1,P,69,18,69,4,OH,PU,N,0
F112Q2008074,54,775,N,0,1,P,67,18,67,4,MA,SF,C,0
F112Q2008952,55,694,N,0,1,P,69,42,69,4,MA,SF,N,0
F112Q2010798,56,738,N,0,1,P,68,28,68,4,KY,SF,N,0
F112Q2012313,57,741,N,0,1,P,64,29,64,4,AZ,PU,C,0
F112Q2012400,58,680,N,30,1,P,95,44,95,5,OK,PU,P,0
F112Q2010067,59,729,Y,0,1,P,80,36,80,4,CA,CO,P,0
F112Q2008710,60,769,N,0,1,P,80,38,80,4,CA,SF,C,0
F112Q2011829,61,774,N,0,1,P,52,50,52,4,CA,SF,N,0
F112Q2008339,62,811,N,0,1,P,68,22,68,4,CO,SF,N,0
F112Q2009961,63,806,N,0,1,P,60,26,60,4,OR,SF,C,0
F112Q2009684,64,683,N,0,1,P,80,48,80,5,NV,SF,P,0
F112Q2012194,65,814,N,0,1,P,34,42,34,4,CA,PU,N,0
F112Q2012163,66,728,N,0,1,P,80,19,80,4,IN,SF,C,0
F112Q2009392,67,808,N,0,1,S,80,48,80,4,WI,SF,P,0
F112Q2010854,68,754,N,25,1,P,90,14,90,4,MO,PU,N,0
F112Q2012462,69,776,N,30,1,P,95,34,95,4,IL,SF,P,0
F112Q2012524,70,783,N,0,1,P,48,43,48,4,MD,PU,N,0
F112Q2012288,71,764,N,0,1,P,80,45,80,4,IL,SF,P,0
F112Q2008496,72,797,N,0,1,P,80,17,80,4,VT,SF,C,0
