ln_seq_number,Ln,credit_score,first_time_homebuyer_flag,mi_percent,unit_cnt,occupancy_status,orig_cltv,orig_debt_to_inc,orig_ltv,orig_int_rate,property_st,property_type,ln_purpose,curr_ln_delq_stas
F112Q2012696,73,762,N,0,1,P,80,21,80,4,TN,SF,P,0
F112Q2010809,74,702,N,0,1,P,69,18,69,4,MD,SF,P,0
F112Q2008427,75,802,N,0,1,P,72,24,72,4,CA,SF,N,0
F112Q2008333,76,746,N,0,1,P,80,22,80,4,WI,SF,C,0
F112Q2009158,77,768,N,30,1,P,92,33,92,4,AZ,PU,P,0
F112Q2009352,78,781,N,0,1,P,49,33,49,4,AZ,SF,C,0
F112Q2011403,79,792,Y,0,1,P,80,33,80,4,NH,SF,P,0
F112Q2011740,80,774,N,0,1,S,55,40,55,4,WI,MH,N,0
F112Q2008959,81,668,N,0,1,P,49,40,49,4,NY,SF,C,0
F112Q2011124,82,798,N,0,1,P,69,35,69,4,VA,PU,N,0
F112Q2008971,83,733,N,0,1,P,80,24,80,4,AR,SF,N,0
F112Q2011111,84,761,N,12,1,P,85,43,85,4,KY,SF,P,0
F112Q2010641,85,813,Y,30,1,P,95,26,95,4,MO,SF,P,0
F112Q2011269,86,741,N,0,1,P,71,43,60,5,VA,PU,C,0
F112Q2009007,87,751,Y,25,1,P,90,34,90,4,PA,SF,P,0
F112Q2008830,88,781,N,0,1,P,49,50,49,4,IL,SF,C,0
F112Q2011987,89,776,N,0,1,P,90,30,80,4,TX,PU,P,0
F112Q2011968,90,762,N,30,1,P,95,39,95,4,NC,PU,P,0
F112Q2010763,91,783,N,25,1,P,90,43,90,4,GA,PU,N,0
F112Q2011913,92,711,N,0,1,P,75,43,75,4,CA,SF,C,0
F112Q2012802,93,773,N,0,1,P,80,22,80,4,VT,SF,P,0
F112Q2012547,94,788,N,0,1,P,75,25,75,4,MI,SF,P,0
F112Q2009495,95,823,N,0,1,P,80,28,80,4,CA,SF,C,0
F112Q2010313,96,804,N,0,1,P,80,29,80,4,PA,CO,P,0
F112Q2008321,97,796,N,0,1,P,41,24,41,4,CA,PU,C,0
F112Q2009305,98,759,N,0,1,P,80,21,80,4,IL,CO,P,0
F112Q2011717,99,718,N,0,1,P,85,38,80,4,IL,SF,N,0
F112Q2011393,100,793,N,0,1,P,80,23,80,4,OH,SF,C,0
F112Q2010116,101,740,N,0,1,P,80,44,80,4,IN,SF,N,0
F112Q2010660,102,678,N,0,1,P,80,41,80,5,IA,SF,P,0
F112Q2010232,103,788,N,0,1,P,80,41,80,4,NC,PU,P,0
F112Q2008509,104,810,N,0,1,P,45,36,45,4,AZ,PU,N,0
F112Q2010450,105,812,N,0,1,P,78,28,74,4,CA,SF,N,0
F112Q2012914,106,800,N,0,1,S,66,26,60,4,AZ,PU,C,0
F112Q2010789,107,806,N,0,1,P,80,35,80,4,MI,SF,P,0
F112Q2008783,108,805,N,0,1,P,46,31,46,4,CA,PU,C,0
F112Q2008149,109,786,N,0,1,P,86,22,69,4,WI,SF,N,1
F112Q2012855,110,802,N,0,1,P,64,22,64,4,KS,PU,P,0
F112Q2008296,111,798,N,0,1,P,79,25,59,4,TX,PU,N,0
F112Q2009123,112,691,N,0,1,P,69,43,57,4,IL,SF,N,0
F112Q2008920,113,708,Y,0,1,P,75,30,75,4,IL,CO,P,0
F112Q2012536,114,801,N,0,1,S,71,37,71,4,MA,SF,N,0
F112Q2011631,115,812,N,0,1,P,41,46,41,4,CA,CO,N,0
F112Q2009789,116,794,N,0,1,P,74,27,74,4,WI,SF,N,0
F112Q2008610,117,788,N,0,1,P,62,35,62,4,CA,CO,C,0
F112Q2011696,118,767,Y,25,1,P,90,32,90,4,FL,PU,P,0
F112Q2010589,119,747,N,0,1,P,71,37,71,4,CA,SF,C,0
F112Q2012345,120,775,N,0,1,P,75,31,75,4,VA,PU,N,0
F112Q2012610,121,761,N,0,1,I,55,47,55,4,VA,SF,C,0
F112Q2010296,122,748,Y,30,1,P,95,42,95,4,NY,SF,P,0
F112Q2011915,123,753,N,0,1,P,80,19,80,4,CO,SF,N,0
F112Q2011273,124,798,N,25,1,P,92,39,92,4,TX,PU,P,0
F112Q2011248,125,736,N,0,1,P,51,31,51,4,NC,PU,C,0
F112Q2008580,126,739,N,0,1,P,77,33,77,4,MO,SF,N,0
F112Q2010444,127,798,N,0,1,P,80,46,80,4,UT,SF,P,0
F112Q2009699,128,731,N,30,1,P,95,26,95,4,WA,SF,P,0
F112Q2011667,129,801,N,0,1,P,50,9,50,4,IN,SF,N,0
F112Q2011870,130,800,N,0,1,P,50,29,50,4,MA,SF,N,0
F112Q2011836,131,684,N,0,1,P,87,33,80,5,IL,SF,N,0
F112Q2008164,132,775,Y,25,1,P,90,32,90,5,PA,PU,P,1
F112Q2011878,133,698,N,0,1,I,64,41,64,5,WA,SF,C,0
F112Q2010671,134,817,N,25,1,P,90,38,90,4,VA,SF,P,0
F112Q2009683,135,811,N,0,1,P,49,49,49,4,HI,SF,N,0
F112Q2008370,136,694,N,0,1,P,80,16,80,4,IL,CO,P,0
F112Q2012295,137,781,N,0,1,P,41,13,41,4,TX,SF,N,0
F112Q2009801,138,747,N,0,1,P,34,45,34,4,MI,SF,N,0
F112Q2011356,139,786,N,12,1,P,85,42,85,4,NJ,SF,N,0
F112Q2010725,140,762,N,0,1,P,80,27,80,4,VA,PU,P,0
F112Q2009140,141,718,N,0,1,P,48,32,48,4,WI,SF,N,0
F112Q2011426,142,683,N,0,1,P,80,16,80,4,OH,SF,N,0
F112Q2011115,143,801,N,25,1,P,90,30,90,4,MI,PU,P,0
F112Q2012680,144,745,N,0,1,P,69,48,69,4,VT,SF,P,0
F112Q2010210,145,793,N,0,1,P,75,38,75,4,CA,CO,C,0
F112Q2011510,146,794,N,0,1,S,72,46,72,4,FL,PU,P,0
F112Q2010888,147,801,N,0,1,P,59,8,59,4,OH,SF,N,0
F112Q2011600,148,751,N,0,1,S,69,34,69,4,MA,SF,N,0
F112Q2012175,149,805,N,0,1,P,80,47,80,4,PA,SF,P,1
F112Q2011860,150,791,Y,0,1,P,75,50,75,4,MA,SF,P,0
F112Q2008599,151,811,N,0,1,I,80,39,80,4,CA,SF,P,0
F112Q2012358,152,739,N,0,1,S,64,45,64,4,IN,SF,P,0
F112Q2009824,153,808,N,0,1,P,75,35,75,4,CA,SF,N,0
F112Q2008717,154,689,N,0,2,I,66,44,66,5,NY,SF,C,0
F112Q2008110,155,681,N,0,1,P,80,40,80,4,OH,SF,P,0
F112Q2008528,156,789,N,30,1,P,95,47,95,4,VA,PU,P,0
F112Q2011457,157,791,N,30,1,P,95,36,95,4,IA,SF,P,0
F112Q2012113,158,723,N,0,1,P,51,32,51,4,NJ,SF,N,0
F112Q2011785,159,812,N,0,1,P,75,28,75,4,WI,SF,C,0
F112Q2008447,160,730,N,0,1,P,72,32,72,4,WI,SF,C,0
F112Q2009202,161,773,N,25,1,P,90,19,90,4,IN,SF,P,0
F112Q2009882,162,779,Y,30,1,P,95,40,95,4,CT,SF,P,0
F112Q2012566,163,757,N,0,1,P,80,31,80,4,MI,SF,P,0
F112Q2008455,164,763,Y,25,1,P,90,27,90,4,TX,PU,P,0
F112Q2011223,165,725,N,0,1,P,75,49,75,4,VT,SF,C,0
F112Q2010774,166,739,N,0,1,I,27,50,27,4,CT,SF,C,1
F112Q2012530,167,730,N,0,1,P,74,28,74,4,MA,SF,C,0
F112Q2011624,168,809,N,0,1,P,80,40,80,4,MI,CO,P,0
F112Q2009450,169,759,N,0,1,P,40,46,40,4,VT,SF,C,0
F112Q2012683,170,796,N,30,1,P,95,46,95,4,WI,SF,P,0
F112Q2011242,171,798,N,25,1,P,90,38,90,4,NY,SF,P,0
F112Q2008221,172,802,N,0,1,S,68,23,68,4,MO,SF,N,0
F112Q2010913,173,776,N,0,1,P,56,33,56,4,OH,SF,P,0
F112Q2012039,174,746,N,18,1,P,95,12,95,4,FL,PU,P,0
F112Q2008201,175,816,N,0,1,P,21,27,21,4,MA,CO,N,0
F112Q2008987,176,784,N,0,1,P,70,31,70,4,TX,SF,P,0
F112Q2010875,177,664,N,0,1,P,69,39,69,4,CA,SF,C,0
F112Q2009876,178,763,N,0,1,P,64,40,64,4,CA,PU,N,0
F112Q2008515,179,811,N,0,1,P,44,31,44,4,CT,SF,N,0
F112Q2012347,180,793,N,0,1,P,80,20,80,4,CA,SF,C,0
F112Q2010451,181,784,N,0,1,P,53,34,53,4,NJ,SF,N,0
F112Q2010162,182,784,N,0,1,P,18,36,18,4,CA,SF,C,0
F112Q2010024,183,746,Y,25,1,P,90,23,90,4,MO,PU,P,0
F112Q2011226,184,756,N,25,1,P,89,17,89,4,NH,CO,N,0
F112Q2012619,185,774,N,0,1,I,71,23,71,4,OK,PU,N,0
F112Q2012169,186,703,N,0,1,P,80,31,80,4,MD,SF,N,0
F112Q2012425,187,750,N,0,1,P,62,46,62,4,NH,SF,N,0
F112Q2009834,188,808,N,0,1,S,79,21,79,4,MI,SF,N,0
F112Q2008013,189,795,N,0,1,P,85,23,70,4,MI,SF,N,0
F112Q2012848,190,726,N,0,1,P,80,19,80,5,IA,SF,N,0
F112Q2010365,191,800,N,0,1,P,34,29,34,4,MI,SF,C,0
F112Q2010884,192,767,N,0,1,P,43,46,43,4,KY,SF,C,0
F112Q2009540,193,757,N,0,1,P,56,34,56,4,VT,SF,C,0
F112Q2012240,194,794,N,12,1,P,84,33,84,4,OH,SF,P,0
F112Q2008211,195,805,N,0,1,P,75,48,75,4,WA,SF,C,0
F112Q2011429,196,781,N,25,1,P,90,35,90,4,IL,SF,P,0
F112Q2009337,197,774,N,0,1,P,42,37,42,4,MA,SF,C,0
F112Q2012658,198,795,N,0,1,P,85,14,74,4,MD,SF,N,0
F112Q2010353,199,762,N,0,1,P,79,24,79,4,ID,SF,C,0
F112Q2011420,200,725,N,0,1,P,58,50,58,4,MI,SF,N,0
F112Q2012763,201,773,N,0,1,P,29,23,29,4,CA,SF,C,0
F112Q2009430,202,812,N,0,1,P,48,25,36,4,MO,PU,N,0
F112Q2012279,203,791,N,0,1,P,77,33,77,4,NY,SF,C,0
F112Q2012264,204,767,N,25,1,P,86,34,86,4,ME,SF,P,0
F112Q2008256,205,780,N,0,1,P,75,23,75,4,KY,SF,P,0
F112Q2008159,206,724,N,0,1,P,59,40,59,4,MN,SF,C,1
F112Q2012660,207,772,N,0,1,P,76,35,76,4,OK,SF,N,1
F112Q2008650,208,797,N,25,1,P,90,22,90,4,CT,SF,N,0
F112Q2012091,209,780,Y,0,1,P,80,30,80,4,FL,SF,P,0
F112Q2009331,210,789,N,0,1,S,80,34,80,4,NC,SF,P,0
F112Q2008729,211,769,N,30,1,P,95,44,95,4,MA,SF,P,0
F112Q2008741,212,805,N,0,1,I,72,12,72,4,CA,SF,N,0
F112Q2010897,213,797,Y,0,1,P,80,25,80,4,IL,SF,P,0
F112Q2010144,214,746,N,0,1,P,57,29,57,4,TX,SF,N,0
F112Q2011752,215,799,N,0,1,I,75,21,75,4,HI,CO,N,0
F112Q2011499,216,796,N,0,1,P,70,41,70,4,FL,PU,P,0
F112Q2011211,217,770,N,0,1,P,80,24,80,5,IN,SF,N,0
F112Q2012077,218,794,N,0,1,P,80,17,80,4,ME,SF,N,0
F112Q2008046,219,667,N,0,1,P,80,36,80,5,MN,SF,C,0
F112Q2009141,220,757,N,0,1,P,44,40,44,4,MA,SF,C,0
F112Q2009966,221,718,N,0,1,P,80,24,80,4,CO,PU,P,0
F112Q2011830,222,780,N,0,1,P,59,46,59,4,CA,SF,N,0
F112Q2011728,223,781,N,0,1,P,80,26,80,4,OH,SF,P,0
F112Q2010976,224,808,N,0,1,P,65,24,65,4,MI,SF,N,0
F112Q2012376,225,727,Y,30,1,P,95,23,95,4,CA,PU,P,0
F112Q2008190,226,823,N,30,1,P,92,39,92,4,KS,SF,P,0
F112Q2008586,227,766,N,0,1,P,75,39,75,4,MI,CO,P,0
F112Q2012108,228,754,N,0,1,P,50,42,50,4,HI,PU,C,0
F112Q2008940,229,771,N,0,1,P,80,29,80,4,DC,SF,P,0
F112Q2012270,230,813,N,30,1,P,95,35,95,4,IL,CO,P,0
F112Q2011802,231,809,N,0,1,P,45,28,45,4,NC,SF,C,0
F112Q2009166,232,726,N,0,1,P,47,32,47,4,MO,PU,C,0
F112Q2010096,233,808,N,0,1,P,74,22,74,4,NH,SF,N,0
F112Q2012378,234,803,N,0,1,P,43,29,43,4,MD,SF,N,0
F112Q2010543,235,700,Y,0,1,P,80,22,80,4,NH,SF,P,0
F112Q2012657,236,669,Y,0,1,P,60,29,60,4,NC,SF,P,0
F112Q2012583,237,707,Y,30,1,P,95,43,95,4,NC,PU,P,0
F112Q2010803,238,788,Y,0,1,P,73,17,73,4,MO,SF,P,0
F112Q2011966,239,795,N,0,1,P,48,33,35,4,CA,SF,N,0
F112Q2008375,240,786,N,30,1,P,95,37,95,4,ND,SF,P,0
F112Q2011401,241,743,N,0,1,P,77,42,50,4,KY,SF,N,0
F112Q2009227,242,769,N,0,1,P,35,34,35,4,IN,SF,N,0
F112Q2010222,243,778,N,0,1,P,67,28,67,4,NJ,SF,C,0
F112Q2010167,244,787,N,0,2,I,63,32,63,5,MA,SF,N,0
F112Q2009335,245,747,N,0,1,P,75,28,75,4,CO,PU,N,0
F112Q2011593,246,804,N,0,1,S,80,32,80,4,FL,SF,P,0
F112Q2011020,247,748,Y,0,1,P,80,25,80,4,MN,SF,P,0
F112Q2009355,248,752,N,30,1,P,95,34,95,4,NC,PU,N,0
F112Q2010796,249,773,N,0,1,P,80,37,80,4,GA,SF,P,0
F112Q2010779,250,786,N,0,1,P,80,29,80,4,PA,SF,N,0
F112Q2011404,251,740,Y,25,1,P,90,37,90,4,MA,CO,P,0
F112Q2010511,252,764,N,0,1,I,73,41,35,4,MA,SF,C,0
F112Q2011136,253,749,N,0,1,P,72,48,64,4,NC,SF,N,0
F112Q2010348,254,803,Y,0,1,P,66,43,66,4,NY,SF,P,0
F112Q2008228,255,783,N,0,1,P,43,20,43,4,WI,CO,P,0
F112Q2010997,256,688,N,0,1,I,70,18,67,4,IN,SF,N,0
F112Q2009709,257,700,N,0,1,P,60,47,60,4,UT,SF,P,0
F112Q2008355,258,775,N,0,1,P,61,41,61,4,OR,PU,C,0
F112Q2008950,259,805,N,0,1,P,80,12,80,4,FL,CO,P,0
F112Q2008389,260,798,N,0,1,P,80,18,80,4,WI,SF,P,0
F112Q2008753,261,792,N,0,1,P,57,24,57,4,IN,SF,C,0
F112Q2011047,262,790,N,0,1,P,59,29,56,4,IL,SF,N,0
F112Q2011919,263,802,N,0,1,P,49,17,49,4,OR,PU,N,0
F112Q2011376,264,686,N,0,1,P,80,23,55,4,GA,SF,C,1
F112Q2009163,265,801,N,0,1,P,39,23,39,4,MD,SF,N,0
F112Q2008787,266,801,N,0,1,P,78,13,50,4,GA,PU,N,0
F112Q2008444,267,793,N,0,1,I,75,42,75,5,TX,PU,N,0
F112Q2008516,268,771,N,0,1,P,59,38,59,4,VT,SF,N,0
F112Q2009621,269,778,N,0,1,P,65,41,65,4,MA,SF,N,0
F112Q2008070,270,748,N,30,1,P,95,40,95,4,OH,SF,P,0
F112Q2008831,271,799,N,0,1,P,75,32,75,4,CA,SF,C,0
F112Q2012276,272,801,N,0,1,P,74,38,74,4,WI,CO,P,0
F112Q2008667,273,801,N,0,1,P,30,42,30,4,GA,PU,N,0
F112Q2009428,274,789,N,0,1,P,23,19,23,4,WI,CO,N,0
F112Q2011894,275,765,N,0,1,P,80,37,80,4,KY,SF,N,0
F112Q2010461,276,718,N,30,1,P,95,43,95,4,MI,SF,P,0
F112Q2009225,277,701,Y,0,1,P,80,9,80,4,GA,SF,P,0
F112Q2010402,278,766,N,30,1,P,95,42,95,4,MI,SF,P,0
F112Q2009363,279,795,N,0,1,P,54,48,54,4,CA,PU,C,0
F112Q2009505,280,754,N,0,1,P,80,41,80,4,IL,SF,C,0
F112Q2008947,281,806,N,0,1,P,65,30,45,4,VT,SF,C,0
F112Q2009606,282,789,N,0,1,P,24,23,24,4,WI,SF,N,0
F112Q2008349,283,801,N,0,1,P,70,29,51,4,IL,SF,N,0
F112Q2010639,284,800,N,25,1,P,89,24,89,4,OR,SF,N,0
F112Q2010405,285,785,N,0,1,I,50,40,50,5,UT,SF,N,0
F112Q2012228,286,710,N,0,1,P,75,6,75,4,UT,SF,N,0
F112Q2011282,287,795,N,0,1,P,37,26,37,4,CA,SF,C,0
F112Q2008173,288,789,N,0,1,P,80,39,80,4,WA,PU,P,1
F112Q2009548,289,748,N,0,1,P,80,35,80,4,MD,PU,N,0
F112Q2010244,290,765,N,0,1,P,80,31,80,4,WI,SF,P,0
F112Q2012932,291,780,N,0,1,P,63,15,63,4,AZ,PU,P,0
F112Q2010407,292,700,N,0,1,P,60,28,60,4,UT,SF,N,0
F112Q2011186,293,800,N,25,1,P,90,17,90,4,OH,SF,P,0
F112Q2012739,294,730,N,30,1,P,95,41,95,4,MD,SF,P,0
F112Q2009119,295,807,N,0,1,P,78,28,78,4,MN,SF,N,0
F112Q2012135,296,738,Y,0,1,P,60,16,60,4,VT,SF,P,0
F112Q2010960,297,747,Y,30,1,P,93,37,93,4,IL,SF,P,0
F112Q2012382,298,770,N,0,1,P,80,38,80,4,CA,SF,N,0
F112Q2010992,299,721,N,12,1,P,85,45,85,4,KY,SF,N,0
F112Q2008874,300,743,N,0,1,P,80,21,80,4,UT,SF,N,0
F112Q2012296,301,754,N,0,1,I,80,37,80,5,CA,SF,P,0
F112Q2008065,302,735,N,0,1,P,34,39,34,4,OH,SF,N,0
F112Q2011772,303,806,N,0,1,P,54,17,54,4,CA,SF,N,0
F112Q2012721,304,652,N,0,1,P,74,37,74,5,IL,SF,C,0
F112Q2009837,305,786,N,0,1,P,35,30,35,4,CO,PU,C,0
F112Q2010418,306,802,N,0,2,P,57,41,57,4,MA,SF,N,0
F112Q2009084,307,749,Y,0,1,P,80,25,80,4,IN,SF,P,0
F112Q2009014,308,788,N,0,1,P,85,32,47,4,NJ,SF,N,0
F112Q2010991,309,772,Y,25,1,P,90,19,90,4,OH,PU,P,0
F112Q2008490,310,800,N,0,1,P,65,33,65,4,KY,SF,N,0
F112Q2010080,311,790,N,0,1,P,75,19,75,4,CO,SF,N,0
F112Q2010927,312,786,N,0,1,P,80,29,80,4,TN,PU,P,0
F112Q2010050,313,781,N,0,1,P,62,34,62,4,NJ,SF,N,0
F112Q2011604,314,717,N,0,1,P,77,40,77,4,CT,SF,N,0
F112Q2008343,315,765,N,0,1,P,54,30,54,4,CA,PU,P,0
F112Q2012396,316,775,N,0,1,P,52,28,52,4,WA,PU,C,0
F112Q2010354,317,817,N,0,1,P,48,29,48,4,UT,SF,P,0
F112Q2010009,318,660,N,0,1,P,77,29,77,4,MA,SF,N,0
F112Q2012012,319,784,N,0,1,P,68,30,68,4,CA,PU,C,0
F112Q2010689,320,710,N,12,1,P,87,31,87,4,KY,SF,N,0
F112Q2010570,321,784,N,25,1,P,89,14,89,4,IL,SF,N,0
F112Q2008244,322,807,N,12,1,P,84,28,84,4,AK,SF,P,0
F112Q2009328,323,781,N,30,1,P,95,33,95,4,WI,SF,N,0
F112Q2008418,324,647,Y,0,1,P,80,24,80,4,IA,SF,P,0
F112Q2008382,325,816,N,0,1,P,62,19,62,4,CA,PU,N,0
F112Q2012025,326,715,N,30,1,P,95,39,95,5,MD,SF,N,0
F112Q2011346,327,792,N,30,1,P,92,16,92,4,NJ,SF,N,0
F112Q2010921,328,696,N,0,1,S,60,31,60,4,KY,SF,N,0
F112Q2010540,329,769,N,0,1,P,80,27,80,4,WI,SF,C,0
F112Q2011368,330,655,N,0,1,P,48,44,48,4,NY,SF,N,1
F112Q2011911,331,804,N,0,1,P,69,31,69,4,CA,SF,N,0
F112Q2010115,332,754,N,0,1,P,77,36,77,4,NY,SF,P,0
F112Q2011850,333,695,N,0,1,P,80,43,80,4,WI,SF,P,0
F112Q2010629,334,806,N,0,1,P,35,34,35,4,CA,PU,N,0
F112Q2010557,335,784,N,0,1,P,90,44,79,4,NE,PU,N,0
F112Q2008756,336,770,N,0,1,I,75,3,75,5,IL,PU,N,0
F112Q2009770,337,796,N,0,1,P,66,10,66,4,IN,SF,C,0
F112Q2010181,338,786,N,0,1,P,49,45,49,4,IL,PU,N,0
F112Q2009443,339,801,N,0,1,P,60,19,60,4,MA,SF,C,0
F112Q2009937,340,752,N,0,1,P,79,41,79,4,IL,PU,P,0
F112Q2012072,341,807,N,0,1,P,65,29,34,4,CA,PU,N,0
F112Q2010308,342,778,N,0,1,P,74,45,74,4,IN,SF,N,0
F112Q2012040,343,745,N,0,1,P,77,29,77,4,MO,SF,N,0
F112Q2012980,344,724,N,0,1,P,42,38,42,4,MD,PU,N,0
F112Q2012483,345,808,N,0,1,P,80,44,80,4,MN,SF,P,0
F112Q2011421,346,705,N,0,1,P,75,42,75,4,IL,SF,N,0
F112Q2008132,347,788,N,0,1,I,65,33,65,5,VA,SF,N,1
F112Q2008473,348,707,N,0,1,P,80,37,80,5,PA,SF,C,1
F112Q2010013,349,725,N,25,1,P,88,20,88,4,LA,SF,N,0
F112Q2011525,350,707,N,0,1,P,56,27,56,4,WI,SF,N,0
F112Q2008838,351,735,N,0,1,P,80,12,80,4,MN,SF,C,0
F112Q2009425,352,730,N,0,1,I,69,36,69,5,HI,CO,C,0
F112Q2011881,353,729,N,0,1,P,75,22,75,4,WI,SF,C,0
F112Q2011121,354,797,N,0,1,P,80,35,80,4,WI,SF,N,0
F112Q2010323,355,743,N,0,1,P,80,27,80,4,VA,PU,P,0
F112Q2010318,356,737,N,0,1,P,90,45,62,4,IN,SF,P,0
F112Q2008319,357,770,N,0,1,S,49,44,49,4,NH,SF,N,0
F112Q2008443,358,700,N,0,1,P,60,27,60,4,ME,SF,C,0
F112Q2008260,359,799,N,0,1,P,80,13,80,5,MO,CO,P,0
F112Q2009297,360,792,N,0,1,S,38,50,38,4,NY,SF,P,0
F112Q2009906,361,809,N,0,1,P,75,27,75,4,CA,CO,N,0
